BNAME,IDENT,NUM_CLIENTS,ARGS,SAMPLE_SIZE,THROUGHPUT,TIME_UNIT,MEAN,MEDIAN,MIN,MAX,P25,P75,P5,P95,P1,P99
list_traversal,E2E,100,anna:1:0,100,0,ms,4.763193130493164,4.426717758178711,3.8690567016601562,14.641761779785156,4.115760326385498,4.6242475509643555,3.956019878387451,5.263662338256827,3.8730692863464355,13.627285957336431
list_traversal,SCHEDULER,100,anna:1:0,100,0,ms,1.4729094505310059,1.4629364013671875,1.2745857238769531,2.2394657135009766,1.441359519958496,1.4919042587280273,1.3834953308105469,1.5244007110595703,1.366875171661377,2.0371842384338392
list_traversal,KVS,100,anna:1:0,100,0,ms,3.290283679962158,2.9609203338623047,2.44903564453125,13.188362121582031,2.630472183227539,3.170192241668701,2.51004695892334,3.787064552307122,2.4613094329833984,12.12361097335816
list_traversal,E2E,100,anna:2:0,100,0,ms,5.126378536224365,4.59897518157959,3.6020278930664062,29.18696403503418,4.374027252197266,4.864633083343506,4.052138328552246,6.475651264190661,3.843963146209717,12.142684459686368
list_traversal,SCHEDULER,100,anna:2:0,100,0,ms,1.7166423797607422,1.476287841796875,1.2621879577636719,26.292085647583008,1.4412403106689453,1.507580280303955,1.3352513313293457,1.5493154525756836,1.307978630065918,2.464885711670045
list_traversal,KVS,100,anna:2:0,100,0,ms,3.409736156463623,3.139019012451172,2.2437572479248047,10.52713394165039,2.903759479522705,3.392517566680908,2.5817394256591797,4.102444648742674,2.473418712615967,10.41903018951416
list_traversal,E2E,100,anna:4:0,100,0,ms,5.627937316894531,5.005955696105957,4.364967346191406,27.611255645751953,4.77367639541626,5.301356315612793,4.560983180999756,9.45073366165161,4.444746971130371,16.24195098876959
list_traversal,SCHEDULER,100,anna:4:0,100,0,ms,1.7256832122802734,1.5103816986083984,1.341104507446289,23.27752113342285,1.498401165008545,1.5280842781066895,1.4539122581481934,1.5564441680908203,1.3569188117980957,1.8448901176453743
list_traversal,KVS,100,anna:4:0,100,0,ms,3.902254104614258,3.5161972045898438,2.8519630432128906,14.626741409301758,3.2587051391601562,3.788769245147705,3.0586838722229004,6.750011444091793,2.9619550704956055,11.484415531158463
list_traversal,E2E,100,anna:8:0,100,0,ms,6.268701553344727,5.696654319763184,4.922628402709961,17.44675636291504,5.427300930023193,5.918741226196289,5.031752586364746,12.422382831573485,4.976444244384766,17.301359176635742
list_traversal,SCHEDULER,100,anna:8:0,100,0,ms,1.4811086654663086,1.476883888244629,1.3501644134521484,2.1414756774902344,1.4197826385498047,1.5360116958618164,1.3681292533874512,1.5626311302185059,1.3527607917785645,1.5747570991516142
list_traversal,KVS,100,anna:8:0,100,0,ms,4.787592887878418,4.231929779052734,3.451108932495117,15.926837921142578,3.985106945037842,4.456460475921631,3.58353853225708,10.860812664031979,3.4685754776000977,15.761613845825197
list_traversal,E2E,100,anna:16:0,100,0,ms,7.842073440551758,6.862998008728027,5.733966827392578,22.582530975341797,6.651401519775391,7.17926025390625,6.399047374725342,17.554879188537598,5.922558307647705,19.50794696807863
list_traversal,SCHEDULER,100,anna:16:0,100,0,ms,1.5254592895507812,1.5325546264648438,1.3587474822998047,1.703500747680664,1.5134215354919434,1.5537142753601074,1.3849854469299316,1.5869617462158203,1.3596916198730469,1.605782508850098
list_traversal,KVS,100,anna:16:0,100,0,ms,6.316614151000977,5.3223371505737305,4.3487548828125,21.083593368530273,5.117654800415039,5.616962909698486,4.84774112701416,15.992987155914307,4.5626020431518555,17.979269027709975
list_traversal,E2E,100,anna:32:0,100,0,ms,11.272175312042236,9.424924850463867,8.330345153808594,34.5616340637207,8.963048458099365,9.852707386016846,8.606040477752686,26.57285928726196,8.425939083099365,29.34716224670413
list_traversal,SCHEDULER,100,anna:32:0,100,0,ms,1.5258240699768066,1.5261173248291016,1.4247894287109375,1.6183853149414062,1.5028119087219238,1.552879810333252,1.455843448638916,1.5781044960021973,1.4356470108032227,1.5926575660705566
list_traversal,KVS,100,anna:32:0,100,0,ms,9.74635124206543,7.890820503234863,6.905555725097656,32.9432487487793,7.450997829437256,8.343935012817383,7.06561803817749,25.020682811737057,6.930103302001953,27.800531387329126
list_traversal,E2E,100,anna:64:0,100,0,ms,18.044848442077637,14.279961585998535,13.033628463745117,63.68279457092285,13.773441314697266,15.729904174804688,13.37193250656128,33.95284414291382,13.105146884918213,35.531444549560696
list_traversal,SCHEDULER,100,anna:64:0,100,0,ms,1.6924047470092773,1.5147924423217773,1.3318061828613281,20.461082458496094,1.4478564262390137,1.5459656715393066,1.3777494430541992,1.5902519226074219,1.35422945022583,2.373058795929049
list_traversal,KVS,100,anna:64:0,100,0,ms,16.35244369506836,12.723445892333984,11.594533920288086,62.268733978271484,12.262940406799316,13.892948627471924,11.867499351501465,31.657004356384274,11.63489580154419,33.91651868820205
list_traversal,E2E,100,anna:128:0,100,0,ms,30.69716453552246,23.928284645080566,22.69434928894043,132.74478912353516,23.511826992034912,42.048752307891846,22.911369800567627,45.9147572517395,22.73754358291626,47.29821443557784
list_traversal,SCHEDULER,100,anna:128:0,100,0,ms,1.5216636657714844,1.5228986740112305,1.4121532440185547,1.6627311706542969,1.4986395835876465,1.5442371368408203,1.4488577842712402,1.5884041786193848,1.416165828704834,1.645972728729248
list_traversal,KVS,100,anna:128:0,100,0,ms,29.175500869750977,22.42255210876465,21.137475967407227,131.08205795288086,22.021055221557617,40.51709175109863,21.381831169128418,44.41368579864502,21.172409057617188,45.799527168274366
